Classes,Frequência,Contagem,Porcentagem
"(6.098, 6.152]",1,|,11.11
"(6.152, 6.206]",4,||||,44.44
"(6.206, 6.259]",0,,0.00
"(6.259, 6.312]",1,|,11.11
"(6.312, 6.366]",0,,0.00
"(6.366, 6.419]",0,,0.00
"(6.419, 6.472]",0,,0.00
"(6.472, 6.526]",1,|,11.11
"(6.526, 6.579]",2,||,22.22
