,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA,6.647,6.643,0.054
1,MODA,6.52,6.599,1.197
2,MEDIANA,6.629,6.599,0.455
3,VARIÂNCIA,32.361,0.056,57541.774
4,DESVIO,0.239,0.237,0.916
5,CV,0.036,0.036,0.862
6,ASSIMETRIA,0.529,0.186,185.232
