,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
173,6,MATAO,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
179,5,BAURU,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
185,3,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.659000000000001,INTERIOR
186,4,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.797000000000001,INTERIOR
192,5,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.26,INTERIOR
193,6,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
196,3,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
197,4,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
205,7,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.629000000000001,INTERIOR
206,8,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
207,9,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
209,1,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.349000000000001,INTERIOR
211,3,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
217,5,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
218,6,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
222,10,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
225,13,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.357,INTERIOR
230,18,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
231,19,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.87,INTERIOR
232,20,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
235,3,BRAGANCA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
240,1,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.07,INTERIOR
241,2,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
244,3,JUNDIAI,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
250,1,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.53,INTERIOR
251,2,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.54,INTERIOR
253,1,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.594000000000001,INTERIOR
254,2,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
255,3,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
256,4,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
258,2,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.559000000000001,INTERIOR
259,3,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
260,4,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
263,2,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.19,INTERIOR
265,4,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.78,INTERIOR
268,3,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,NACIONAL,6.579000000000001,METRÓPOLE
272,4,ARARAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
276,1,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.279000000000001,METRÓPOLE
277,2,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.549000000000001,METRÓPOLE
278,3,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.59,METRÓPOLE
281,3,GARCA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
286,4,ITU,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
289,7,ITU,SÃO PAULO,DIESEL,NACIONAL,6.439000000000001,INTERIOR
290,1,GUARUJA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
300,5,LEME,SÃO PAULO,DIESEL,NACIONAL,6.148000000000001,INTERIOR
301,6,LEME,SÃO PAULO,DIESEL,NACIONAL,6.3180000000000005,INTERIOR
303,8,LEME,SÃO PAULO,DIESEL,NACIONAL,6.4,INTERIOR
310,5,GUARULHOS,SÃO PAULO,DIESEL,NACIONAL,6.279000000000001,INTERIOR
312,1,BIRIGUI,SÃO PAULO,DIESEL,NACIONAL,6.37,INTERIOR
