POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
9,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
10,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.429000000000001,INTERIOR
11,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
12,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,7.0,INTERIOR
1,ITAPETININGA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
2,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.779000000000001,INTERIOR
3,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9590000000000005,INTERIOR
4,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.99,INTERIOR
5,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
1,CUBATAO,SÃO PAULO,DIESEL,OUTRO,6.949000000000001,INTERIOR
2,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.986000000000001,INTERIOR
3,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
1,JALES,SÃO PAULO,DIESEL,OUTRO,6.7490000000000006,INTERIOR
2,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
3,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
4,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
5,JALES,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
6,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
7,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
8,JALES,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
1,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,5.96,INTERIOR
2,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
3,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
4,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,6.7170000000000005,INTERIOR
5,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,6.857,INTERIOR
6,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
7,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,7.03,INTERIOR
1,LORENA,SÃO PAULO,DIESEL,OUTRO,6.15,INTERIOR
2,LORENA,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
1,MAUA,SÃO PAULO,DIESEL,OUTRO,6.47,METRÓPOLE
2,MAUA,SÃO PAULO,DIESEL,OUTRO,6.479000000000001,METRÓPOLE
3,MAUA,SÃO PAULO,DIESEL,OUTRO,6.49,METRÓPOLE
1,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.2490000000000006,INTERIOR
2,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
3,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.319000000000001,INTERIOR
4,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
5,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
6,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.6,INTERIOR
1,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
2,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
3,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.679000000000001,INTERIOR
1,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.04,INTERIOR
2,INDAIATUBA,SÃO PAULO,DIESEL,OUTRO,6.0889999999999995,INTERIOR
3,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
4,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
1,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.37,INTERIOR
2,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
3,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
4,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.54,INTERIOR
5,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
6,ARARAQUARA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
1,ITANHAEM,SÃO PAULO,DIESEL,NACIONAL,7.3,INTERIOR
1,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
2,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
3,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
4,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
5,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
6,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.849000000000001,INTERIOR
1,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.309000000000001,INTERIOR
2,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
3,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.45,INTERIOR
4,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
5,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
6,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.45,INTERIOR
7,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.54,INTERIOR
1,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
2,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
3,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
4,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
5,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
6,MOCOCA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
7,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.729000000000001,INTERIOR
8,MOCOCA,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
1,ADAMANTINA,SÃO PAULO,DIESEL,NACIONAL,6.99,INTERIOR
1,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
2,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
3,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.68,INTERIOR
4,ITAPOLIS,SÃO PAULO,DIESEL,NACIONAL,6.69,INTERIOR
5,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
6,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
7,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
1,ITAPIRA,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
2,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.64,INTERIOR
3,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.67,INTERIOR
1,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
2,HORTOLANDIA,SÃO PAULO,DIESEL,NACIONAL,6.189000000000001,INTERIOR
3,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
4,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
5,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
6,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
7,HORTOLANDIA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
1,AMERICANA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
2,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.449000000000001,INTERIOR
3,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
1,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
2,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.55,INTERIOR
3,DRACENA,SÃO PAULO,DIESEL,NACIONAL,6.59,INTERIOR
4,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
1,MATAO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
2,MATAO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
3,MATAO,SÃO PAULO,DIESEL,OUTRO,6.4,INTERIOR
4,MATAO,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
5,MATAO,SÃO PAULO,DIESEL,OUTRO,6.75,INTERIOR
6,MATAO,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
7,MATAO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
1,BAURU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
2,BAURU,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
3,BAURU,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
4,BAURU,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
5,BAURU,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
6,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
7,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
8,BAURU,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
1,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
2,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
3,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.659000000000001,INTERIOR
4,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.797000000000001,INTERIOR
5,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
1,DIADEMA,SÃO PAULO,DIESEL,OUTRO,5.97,INTERIOR
2,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
3,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.1690000000000005,INTERIOR
4,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.22,INTERIOR
5,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.26,INTERIOR
6,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
1,AVARE,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
2,AVARE,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
3,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
4,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
5,AVARE,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
1,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
2,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
3,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.2490000000000006,INTERIOR
4,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
5,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.42,INTERIOR
6,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
7,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.629000000000001,INTERIOR
8,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
9,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
10,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
1,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.349000000000001,INTERIOR
2,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.379000000000001,INTERIOR
3,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
4,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
1,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.949,INTERIOR
2,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
3,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.097,INTERIOR
4,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
5,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
6,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
7,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
8,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.25,INTERIOR
9,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.279000000000001,INTERIOR
10,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
11,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
12,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
13,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.357,INTERIOR
14,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
15,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
16,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
17,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
18,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
19,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.87,INTERIOR
20,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
1,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
2,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.296,INTERIOR
3,BRAGANCA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
4,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
5,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
6,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
7,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
1,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.07,INTERIOR
2,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
1,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
2,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
3,JUNDIAI,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
1,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
2,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
3,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.3,INTERIOR
