Classes,Frequência,Contagem,Porcentagem
"(6.098, 6.154]",1,|,11.11
"(6.154, 6.208]",0,,0
"(6.208, 6.263]",0,,0
"(6.263, 6.317]",1,|,11.11
"(6.317, 6.372]",0,,0
"(6.372, 6.426]",0,,0
"(6.426, 6.481]",2,||,22.22
"(6.481, 6.535]",2,||,22.22
"(6.535, 6.59]",3,|||,33.33
