POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
4,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.64,INTERIOR
5,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
6,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
7,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
8,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
9,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
10,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
11,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
12,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
13,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
14,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
15,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
16,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
17,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,7.39,INTERIOR
1,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.35,INTERIOR
2,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
3,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
4,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
5,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.685,INTERIOR
6,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
7,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.89,INTERIOR
8,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.93,INTERIOR
