,Frequência,Porcentagem,Contagem
"(6.577, 6.722]",29,25.0,|||||||||||||||||||||||||||||
"(6.433, 6.577]",25,21.551724137931032,|||||||||||||||||||||||||
"(6.288, 6.433]",20,17.24137931034483,||||||||||||||||||||
"(6.722, 6.866]",14,12.068965517241379,||||||||||||||
"(6.144, 6.288]",10,8.620689655172415,||||||||||
"(6.866, 7.011]",10,8.620689655172415,||||||||||
"(5.997, 6.144]",4,3.4482758620689653,||||
"(7.011, 7.155]",2,1.7241379310344827,||
"(7.155, 7.3]",2,1.7241379310344827,||
