Classes,Frequência,Contagem,Porcentagem
"(5.947, 6.083]",11,|||||||||||,5.5
"(6.083, 6.218]",29,|||||||||||||||||||||||||||||,14.5
"(6.218, 6.352]",40,||||||||||||||||||||||||||||||||||||||||,20
"(6.352, 6.487]",39,|||||||||||||||||||||||||||||||||||||||,19.5
"(6.487, 6.621]",38,||||||||||||||||||||||||||||||||||||||,19
"(6.621, 6.756]",20,||||||||||||||||||||,10
"(6.756, 6.89]",16,||||||||||||||||,8
"(6.89, 7.025]",6,||||||,3
"(7.025, 7.159]",1,|,0.5
