,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
117,3,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
118,4,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.4,INTERIOR
119,5,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
120,6,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
128,4,CUBATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
135,1,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.94,INTERIOR
136,2,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
137,3,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
139,5,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
141,7,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
142,8,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
143,9,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
144,1,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.19,INTERIOR
145,2,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.5,INTERIOR
146,3,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.67,INTERIOR
155,1,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.25,INTERIOR
156,2,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
157,3,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
158,4,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
159,5,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
162,1,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,METRÓPOLE
163,2,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,METRÓPOLE
164,3,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
165,4,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
166,5,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
167,6,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.59,METRÓPOLE
169,8,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.89,METRÓPOLE
171,1,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
172,2,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.579000000000001,INTERIOR
173,3,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
174,4,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.739000000000001,INTERIOR
176,6,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
178,1,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
181,4,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
183,2,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.289000000000001,INTERIOR
184,3,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
187,6,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
188,7,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
189,8,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
191,10,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.697,INTERIOR
192,11,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
194,1,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
195,2,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.49,INTERIOR
196,3,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
197,4,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
198,5,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.63,INTERIOR
201,8,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
202,9,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.74,INTERIOR
203,10,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
205,12,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.95,INTERIOR
207,1,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
210,4,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
211,5,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
212,6,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
213,7,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
216,10,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
220,14,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
222,16,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
223,17,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,7.09,INTERIOR
224,1,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
226,3,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
228,5,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
230,1,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
231,2,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
232,3,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
233,4,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
234,5,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
235,6,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
237,8,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
239,10,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
240,1,ADAMANTINA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
242,1,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
243,2,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
245,4,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
247,6,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,7.0,INTERIOR
248,1,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
250,3,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
251,4,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
252,5,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.87,INTERIOR
253,1,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.199000000000001,INTERIOR
254,2,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
256,4,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
257,5,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
259,7,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.489000000000001,INTERIOR
260,8,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
262,10,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
264,1,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
266,3,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.549000000000001,INTERIOR
267,4,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
271,8,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
272,9,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.649000000000001,INTERIOR
274,1,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
275,2,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
277,4,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.78,INTERIOR
278,5,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.89,INTERIOR
279,6,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.89,INTERIOR
280,1,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
281,2,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.45,INTERIOR
