,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
34,3,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
35,4,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.4190000000000005,INTERIOR
36,5,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.489000000000001,INTERIOR
38,1,JACAREI,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
40,2,JAU,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
41,3,JAU,SÃO PAULO,DIESEL,OUTRO,6.7,INTERIOR
44,2,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.397,INTERIOR
45,3,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
46,4,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
47,5,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
49,7,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
53,11,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
54,1,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
57,4,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
58,5,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
60,7,BARRETOS,SÃO PAULO,DIESEL,OUTRO,7.159000000000001,INTERIOR
64,3,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
65,4,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
68,7,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
69,8,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
70,9,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
72,11,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
74,1,ITAPETININGA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
79,1,CUBATAO,SÃO PAULO,DIESEL,OUTRO,6.949000000000001,INTERIOR
82,1,JALES,SÃO PAULO,DIESEL,OUTRO,6.7490000000000006,INTERIOR
83,2,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
84,3,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
85,4,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
87,6,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
88,7,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
90,1,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,5.96,INTERIOR
91,2,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
92,3,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
95,6,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
97,1,LORENA,SÃO PAULO,DIESEL,OUTRO,6.15,INTERIOR
98,2,LORENA,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
99,1,MAUA,SÃO PAULO,DIESEL,OUTRO,6.47,METRÓPOLE
100,2,MAUA,SÃO PAULO,DIESEL,OUTRO,6.479000000000001,METRÓPOLE
101,3,MAUA,SÃO PAULO,DIESEL,OUTRO,6.49,METRÓPOLE
103,2,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
104,3,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.319000000000001,INTERIOR
106,5,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
108,1,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
109,2,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
110,3,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.679000000000001,INTERIOR
112,2,INDAIATUBA,SÃO PAULO,DIESEL,OUTRO,6.089,INTERIOR
115,1,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.37,INTERIOR
116,2,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
117,3,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
118,4,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.54,INTERIOR
119,5,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
122,1,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
126,5,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
128,1,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.309000000000001,INTERIOR
129,2,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
131,4,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
132,5,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
135,1,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
136,2,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
