Classes,Frequência,Contagem,Porcentagem
"(6.249, 6.399]",82,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,26.71
"(6.549, 6.7]",64,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,20.85
"(6.399, 6.549]",51,|||||||||||||||||||||||||||||||||||||||||||||||||||,16.61
"(6.7, 6.85]",32,||||||||||||||||||||||||||||||||,10.42
"(6.099, 6.249]",29,|||||||||||||||||||||||||||||,9.45
"(5.947, 6.099]",24,||||||||||||||||||||||||,7.82
"(6.85, 7.0]",19,|||||||||||||||||||,6.19
"(7.0, 7.15]",3,|||,0.98
"(7.15, 7.3]",3,|||,0.98
