Classes,Frequência,Contagem,Porcentagem
"(6.097, 6.218]",1,|,2.38
"(6.218, 6.337]",1,|,2.38
"(6.337, 6.456]",2,||,4.76
"(6.456, 6.575]",10,||||||||||,23.81
"(6.575, 6.694]",13,|||||||||||||,30.95
"(6.694, 6.814]",4,||||,9.52
"(6.814, 6.933]",5,|||||,11.90
"(6.933, 7.052]",2,||,4.76
"(7.052, 7.171]",0,,0.00
"(7.171, 7.29]",4,||||,9.52
