Classes,Frequência,Porcentagem,Contagem
"(5.997, 6.144]",4,3.45,||||
"(6.144, 6.288]",10,8.62,||||||||||
"(6.288, 6.433]",20,17.24,||||||||||||||||||||
"(6.433, 6.577]",25,21.55,|||||||||||||||||||||||||
"(6.577, 6.722]",29,25.00,|||||||||||||||||||||||||||||
"(6.722, 6.866]",14,12.07,||||||||||||||
"(6.866, 7.011]",10,8.62,||||||||||
"(7.011, 7.155]",2,1.72,||
"(7.155, 7.3]",2,1.72,||
