Classes,Frequência,Contagem,Porcentagem
"(5.947, 6.099]",25,|||||||||||||||||||||||||,7.91
"(6.099, 6.249]",29,|||||||||||||||||||||||||||||,9.18
"(6.249, 6.399]",83,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,26.27
"(6.399, 6.549]",56,||||||||||||||||||||||||||||||||||||||||||||||||||||||||,17.72
"(6.549, 6.7]",66,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,20.89
"(6.7, 6.85]",32,||||||||||||||||||||||||||||||||,10.13
"(6.85, 7.0]",19,|||||||||||||||||||,6.01
"(7.0, 7.15]",3,|||,0.95
"(7.15, 7.3]",3,|||,0.95
