,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
67,6,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.39,INTERIOR
68,7,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
69,8,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
70,9,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
71,10,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.429000000000001,INTERIOR
72,11,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
73,12,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,7.0,INTERIOR
74,1,ITAPETININGA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
75,2,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.779000000000001,INTERIOR
76,3,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9590000000000005,INTERIOR
77,4,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.99,INTERIOR
78,5,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
79,1,CUBATAO,SÃO PAULO,DIESEL,OUTRO,6.949000000000001,INTERIOR
80,2,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.986000000000001,INTERIOR
81,3,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
82,1,JALES,SÃO PAULO,DIESEL,OUTRO,6.7490000000000006,INTERIOR
83,2,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
84,3,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
85,4,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
86,5,JALES,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
87,6,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
88,7,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
89,8,JALES,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
90,1,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,5.96,INTERIOR
91,2,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
92,3,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
93,4,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,6.7170000000000005,INTERIOR
94,5,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,6.857,INTERIOR
95,6,ATIBAIA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
96,7,ATIBAIA,SÃO PAULO,DIESEL,NACIONAL,7.03,INTERIOR
97,1,LORENA,SÃO PAULO,DIESEL,OUTRO,6.15,INTERIOR
98,2,LORENA,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
102,1,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.2490000000000006,INTERIOR
103,2,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
104,3,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.319000000000001,INTERIOR
105,4,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
106,5,ITATIBA,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
107,6,ITATIBA,SÃO PAULO,DIESEL,NACIONAL,6.6,INTERIOR
108,1,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
109,2,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
110,3,COSMOPOLIS,SÃO PAULO,DIESEL,OUTRO,6.679000000000001,INTERIOR
111,1,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.04,INTERIOR
112,2,INDAIATUBA,SÃO PAULO,DIESEL,OUTRO,6.089,INTERIOR
113,3,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
114,4,INDAIATUBA,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
115,1,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.37,INTERIOR
116,2,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
117,3,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
118,4,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.54,INTERIOR
119,5,ARARAQUARA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
120,6,ARARAQUARA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
121,1,ITANHAEM,SÃO PAULO,DIESEL,NACIONAL,7.3,INTERIOR
122,1,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
123,2,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
124,3,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
125,4,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
126,5,ASSIS,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
127,6,ASSIS,SÃO PAULO,DIESEL,NACIONAL,6.849000000000001,INTERIOR
128,1,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.309000000000001,INTERIOR
