,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.599,6.595,0.064
1,MODA (R$),6.668,6.599,1.046
2,MEDIANA (R$),6.462,6.59,1.948
3,VARIÂNCIA (R$)^2,0.051,0.048,6.917
4,DESVIO (R$),0.226,0.219,3.401
5,CV (ADIM),0.034,0.033,3.335
6,ASSIMETRIA (ADIM),-0.306,-0.02,-1425.185
7,ASSIMETRIA S/MODA (ADIM),1.82,-0.02,-9175.27
