,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.447,6.448,0.014
1,MODA (R$),6.59,6.099,8.051
2,MEDIANA (R$),6.494,6.49,0.069
3,VARIÂNCIA (R$)^2,0.019,0.025,23.676
4,DESVIO (R$),0.139,0.16,12.636
5,CV (ADIM),0.022,0.025,12.624
6,ASSIMETRIA (ADIM),-1.023,2.189,146.762
7,ASSIMETRIA S/MODA (ADIM),-1.015,2.189,146.379
