,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.647,6.643,0.054
1,MODA (R$),6.589,6.599,0.152
2,MEDIANA (R$),6.741,6.599,2.149
3,VARIÂNCIA (R$)^2,0.057,0.056,1.841
4,DESVIO (R$),0.239,0.237,0.916
5,CV (ADIM),0.036,0.036,0.862
6,ASSIMETRIA (ADIM),0.241,0.186,29.823
7,ASSIMETRIA S/MODA (ADIM),-1.182,0.186,737.159
