,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.643,6.64,0.056
1,MODA (R$),6.588,6.599,0.16
2,MEDIANA (R$),6.744,6.599,2.197
3,VARIÂNCIA (R$)^2,0.057,0.055,2.638
4,DESVIO (R$),0.238,0.235,1.31
5,CV (ADIM),0.036,0.035,1.253
6,ASSIMETRIA (ADIM),0.231,0.173,33.55
7,ASSIMETRIA S/MODA (ADIM),-1.269,0.173,835.131
