,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.473,6.482,0.135
1,MODA (R$),6.373,6.299,1.17
2,MEDIANA (R$),6.423,6.484,0.939
3,VARIÂNCIA (R$)^2,0.065,0.064,1.37
4,DESVIO (R$),0.255,0.254,0.682
5,CV (ADIM),0.039,0.039,0.819
6,ASSIMETRIA (ADIM),0.394,0.722,45.467
7,ASSIMETRIA S/MODA (ADIM),0.588,0.722,18.486
