,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.474,6.483,0.136
1,MODA (R$),6.344,6.299,0.709
2,MEDIANA (R$),6.453,6.459,0.087
3,VARIÂNCIA (R$)^2,0.066,0.065,1.097
4,DESVIO (R$),0.257,0.256,0.547
5,CV (ADIM),0.04,0.039,0.684
6,ASSIMETRIA (ADIM),0.507,0.719,29.451
7,ASSIMETRIA S/MODA (ADIM),0.241,0.719,66.426
