,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.303,6.448,2.247
1,MODA (R$),6.175,6.099,1.248
2,MEDIANA (R$),6.199,6.49,4.48
3,VARIÂNCIA (R$)^2,0.028,0.025,11.666
4,DESVIO (R$),0.169,0.16,5.672
5,CV (ADIM),0.027,0.025,8.101
6,ASSIMETRIA (ADIM),0.76,2.189,65.263
7,ASSIMETRIA S/MODA (ADIM),1.852,2.189,15.386
