,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.643,6.64,0.045
1,MODA (R$),6.592,6.599,0.112
2,MEDIANA (R$),6.748,6.599,2.256
3,VARIÂNCIA (R$)^2,0.056,0.055,2.544
4,DESVIO (R$),0.238,0.235,1.264
5,CV (ADIM),0.036,0.035,1.218
6,ASSIMETRIA (ADIM),0.216,0.175,23.733
7,ASSIMETRIA S/MODA (ADIM),-1.325,0.175,858.7
