,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.729,6.721,0.119
1,MODA (R$),6.679,6.599,1.21
2,MEDIANA (R$),6.462,6.692,3.44
3,VARIÂNCIA (R$)^2,0.061,0.059,2.07
4,DESVIO (R$),0.246,0.244,1.03
5,CV (ADIM),0.037,0.036,0.909
6,ASSIMETRIA (ADIM),0.203,0.5,59.354
7,ASSIMETRIA S/MODA (ADIM),3.256,0.5,550.753
