,Medidas,Dados Agrupados,Dados Não-Agrupados,Erro Relativo
0,MÉDIA (R$),6.571,6.569,0.036
1,MODA (R$),6.608,6.499,1.67
2,MEDIANA (R$),6.571,6.564,0.11
3,VARIÂNCIA (R$)^2,0.059,0.064,7.722
4,DESVIO (R$),0.243,0.253,3.939
5,CV (ADIM),0.037,0.039,3.973
6,ASSIMETRIA (ADIM),-0.15,0.275,154.641
7,ASSIMETRIA S/MODA (ADIM),-0.003,0.275,101.192
