Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
10,BARRETOS,São Paulo,DIESEL S10,BRANCA,6990
11,BARRETOS,São Paulo,DIESEL S10,BRANCA,6990
12,BARRETOS,São Paulo,DIESEL S10,VIBRA ENERGIA,7150
13,BARRETOS,São Paulo,DIESEL S10,RAIZEN,7199
14,BARRETOS,São Paulo,DIESEL S10,VIBRA ENERGIA,7199
15,BARRETOS,São Paulo,DIESEL S10,IPIRANGA,7299
1,LIMEIRA,São Paulo,DIESEL S10,RAIZEN,6299
2,LIMEIRA,São Paulo,DIESEL S10,RAIZEN,6299
3,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6299
4,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6399
5,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6399
6,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6490
7,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6490
8,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6490
9,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6498
10,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6499
11,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6499
12,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6499
13,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6499
14,LIMEIRA,São Paulo,DIESEL S10,BRANCA,6499
15,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6499
16,LIMEIRA,São Paulo,DIESEL S10,VIBRA ENERGIA,6598
17,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,6599
18,LIMEIRA,São Paulo,DIESEL S10,RAIZEN,6699
19,LIMEIRA,São Paulo,DIESEL S10,IPIRANGA,7190
1,ITAPETININGA,São Paulo,DIESEL S10,BRANCA,6239
2,ITAPETININGA,São Paulo,DIESEL S10,BRANCA,6249
3,ITAPETININGA,São Paulo,DIESEL S10,BRANCA,6299
4,ITAPETININGA,São Paulo,DIESEL S10,RAIZEN,6400
5,ITAPETININGA,São Paulo,DIESEL S10,RAIZEN,6699
6,ITAPETININGA,São Paulo,DIESEL S10,RAIZEN,6899
7,ITAPETININGA,São Paulo,DIESEL S10,VIBRA ENERGIA,6979
8,ITAPETININGA,São Paulo,DIESEL S10,VIBRA ENERGIA,7099
9,ITAPETININGA,São Paulo,DIESEL S10,VIBRA ENERGIA,7290
10,ITAPETININGA,São Paulo,DIESEL S10,VIBRA ENERGIA,7299
1,CUBATAO,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
2,CUBATAO,São Paulo,DIESEL S10,IPIRANGA,6997
3,CUBATAO,São Paulo,DIESEL S10,VIBRA ENERGIA,6998
4,CUBATAO,São Paulo,DIESEL S10,RAIZEN,6999
5,CUBATAO,São Paulo,DIESEL S10,ALESAT,7049
6,CUBATAO,São Paulo,DIESEL S10,VIBRA ENERGIA,7100
1,INTANHAEM,São Paulo,DIESEL S10,VIBRA ENERGIA,6990
2,INTANHAEM,São Paulo,DIESEL S10,IPIRANGA,6999
3,INTANHAEM,São Paulo,DIESEL S10,IPIRANGA,7390
4,INTANHAEM,São Paulo,DIESEL S10,ALESAT,7460
1,JALES,São Paulo,DIESEL S10,BRANCA,6940
2,JALES,São Paulo,DIESEL S10,BRANCA,6999
3,JALES,São Paulo,DIESEL S10,BRANCA,6999
4,JALES,São Paulo,DIESEL S10,IPIRANGA,6999
5,JALES,São Paulo,DIESEL S10,BRANCA,6999
6,JALES,São Paulo,DIESEL S10,IPIRANGA,6999
7,JALES,São Paulo,DIESEL S10,BRANCA,6999
8,JALES,São Paulo,DIESEL S10,BRANCA,6999
9,JALES,São Paulo,DIESEL S10,BRANCA,6999
1,ATIBAIA,São Paulo,DIESEL S10,BRANCA,6190
2,ATIBAIA,São Paulo,DIESEL S10,BRANCA,6500
3,ATIBAIA,São Paulo,DIESEL S10,BRANCA,6670
4,ATIBAIA,São Paulo,DIESEL S10,IPIRANGA,6699
5,ATIBAIA,São Paulo,DIESEL S10,ALESAT,6790
6,ATIBAIA,São Paulo,DIESEL S10,VIBRA ENERGIA,6800
7,ATIBAIA,São Paulo,DIESEL S10,VIBRA ENERGIA,6817
8,ATIBAIA,São Paulo,DIESEL S10,IPIRANGA,6897
9,ATIBAIA,São Paulo,DIESEL S10,VIBRA ENERGIA,6990
10,ATIBAIA,São Paulo,DIESEL S10,IPIRANGA,6999
11,ATIBAIA,São Paulo,DIESEL S10,VIBRA ENERGIA,7230
1,LORENA,São Paulo,DIESEL S10,BRANCA,6250
2,LORENA,São Paulo,DIESEL S10,BRANCA,6390
3,LORENA,São Paulo,DIESEL S10,BRANCA,6399
4,LORENA,São Paulo,DIESEL S10,BRANCA,6399
5,LORENA,São Paulo,DIESEL S10,RAIZEN,6590
6,LORENA,São Paulo,DIESEL S10,VIBRA ENERGIA,6599
7,LORENA,São Paulo,DIESEL S10,IPIRANGA,6659
1,MAUA,São Paulo,DIESEL S10,BRANCA,6249
2,MAUA,São Paulo,DIESEL S10,BRANCA,6399
3,MAUA,São Paulo,DIESEL S10,BRANCA,6490
4,MAUA,São Paulo,DIESEL S10,RAIZEN,6490
5,MAUA,São Paulo,DIESEL S10,RAIZEN,6499
6,MAUA,São Paulo,DIESEL S10,RAIZEN,6590
7,MAUA,São Paulo,DIESEL S10,VIBRA ENERGIA,6690
8,MAUA,São Paulo,DIESEL S10,RAIZEN,6890
9,MAUA,São Paulo,DIESEL S10,VIBRA ENERGIA,6890
1,ITATIBA,São Paulo,DIESEL S10,BRANCA,6399
2,ITATIBA,São Paulo,DIESEL S10,BRANCA,6579
3,ITATIBA,São Paulo,DIESEL S10,BRANCA,6590
4,ITATIBA,São Paulo,DIESEL S10,RAIZEN,6739
5,ITATIBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6790
6,ITATIBA,São Paulo,DIESEL S10,RAIZEN,6900
7,ITATIBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6900
1,COSMOPOLIS,São Paulo,DIESEL S10,BRANCA,6399
2,COSMOPOLIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6490
3,COSMOPOLIS,São Paulo,DIESEL S10,IPIRANGA,6599
4,COSMOPOLIS,São Paulo,DIESEL S10,BRANCA,6899
1,INDAIATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6240
2,INDAIATUBA,São Paulo,DIESEL S10,RAIZEN,6289
3,INDAIATUBA,São Paulo,DIESEL S10,BRANCA,6399
4,INDAIATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6590
5,INDAIATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6590
6,INDAIATUBA,São Paulo,DIESEL S10,RAIZEN,6590
7,INDAIATUBA,São Paulo,DIESEL S10,BRANCA,6597
8,INDAIATUBA,São Paulo,DIESEL S10,BRANCA,6599
9,INDAIATUBA,São Paulo,DIESEL S10,IPIRANGA,6690
10,INDAIATUBA,São Paulo,DIESEL S10,BRANCA,6697
11,INDAIATUBA,São Paulo,DIESEL S10,RAIZEN,6699
12,INDAIATUBA,São Paulo,DIESEL S10,IPIRANGA,6729
1,ARARAQUARA,São Paulo,DIESEL S10,BRANCA,6399
2,ARARAQUARA,São Paulo,DIESEL S10,BRANCA,6490
3,ARARAQUARA,São Paulo,DIESEL S10,BRANCA,6499
4,ARARAQUARA,São Paulo,DIESEL S10,RAIZEN,6597
5,ARARAQUARA,São Paulo,DIESEL S10,BRANCA,6630
6,ARARAQUARA,São Paulo,DIESEL S10,IPIRANGA,6690
7,ARARAQUARA,São Paulo,DIESEL S10,ALESAT,6699
8,ARARAQUARA,São Paulo,DIESEL S10,RAIZEN,6699
9,ARARAQUARA,São Paulo,DIESEL S10,RAIZEN,6740
10,ARARAQUARA,São Paulo,DIESEL S10,RAIZEN,6770
11,ARARAQUARA,São Paulo,DIESEL S10,IPIRANGA,6790
12,ARARAQUARA,São Paulo,DIESEL S10,BRANCA,6950
13,ARARAQUARA,São Paulo,DIESEL S10,VIBRA ENERGIA,7490
1,ASSIS,São Paulo,DIESEL S10,BRANCA,6590
2,ASSIS,São Paulo,DIESEL S10,IPIRANGA,6599
3,ASSIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6599
4,ASSIS,São Paulo,DIESEL S10,RAIZEN,6599
5,ASSIS,São Paulo,DIESEL S10,RAIZEN,6599
6,ASSIS,São Paulo,DIESEL S10,BRANCA,6599
7,ASSIS,São Paulo,DIESEL S10,BRANCA,6599
8,ASSIS,São Paulo,DIESEL S10,IPIRANGA,6700
9,ASSIS,São Paulo,DIESEL S10,IPIRANGA,6700
10,ASSIS,São Paulo,DIESEL S10,BRANCA,6770
11,ASSIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6799
12,ASSIS,São Paulo,DIESEL S10,IPIRANGA,6799
13,ASSIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6799
14,ASSIS,São Paulo,DIESEL S10,BRANCA,6899
15,ASSIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6999
16,ASSIS,São Paulo,DIESEL S10,BRANCA,6999
17,ASSIS,São Paulo,DIESEL S10,BRANCA,7090
1,AMPARO,São Paulo,DIESEL S10,RAIZEN,6550
2,AMPARO,São Paulo,DIESEL S10,VIBRA ENERGIA,6550
3,AMPARO,São Paulo,DIESEL S10,RAIZEN,6550
4,AMPARO,São Paulo,DIESEL S10,VIBRA ENERGIA,6550
5,AMPARO,São Paulo,DIESEL S10,RAIZEN,6550
6,AMPARO,São Paulo,DIESEL S10,IPIRANGA,6590
1,MOCOCA,São Paulo,DIESEL S10,BRANCA,6399
2,MOCOCA,São Paulo,DIESEL S10,BRANCA,6399
3,MOCOCA,São Paulo,DIESEL S10,BRANCA,6399
4,MOCOCA,São Paulo,DIESEL S10,BRANCA,6399
5,MOCOCA,São Paulo,DIESEL S10,BRANCA,6799
6,MOCOCA,São Paulo,DIESEL S10,BRANCA,6799
7,MOCOCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
8,MOCOCA,São Paulo,DIESEL S10,BRANCA,6899
9,MOCOCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6999
10,MOCOCA,São Paulo,DIESEL S10,RAIZEN,6999
1,ADAMANTINA,São Paulo,DIESEL S10,BRANCA,6590
2,ADAMANTINA,São Paulo,DIESEL S10,IPIRANGA,6790
1,ITAPOLIS,São Paulo,DIESEL S10,BRANCA,6399
2,ITAPOLIS,São Paulo,DIESEL S10,BRANCA,6399
3,ITAPOLIS,São Paulo,DIESEL S10,IPIRANGA,6699
4,ITAPOLIS,São Paulo,DIESEL S10,BRANCA,6799
5,ITAPOLIS,São Paulo,DIESEL S10,VIBRA ENERGIA,6849
6,ITAPOLIS,São Paulo,DIESEL S10,BRANCA,7000
1,ITAPIRA,São Paulo,DIESEL S10,RAIZEN,6499
2,ITAPIRA,São Paulo,DIESEL S10,IPIRANGA,6599
3,ITAPIRA,São Paulo,DIESEL S10,BRANCA,6690
4,ITAPIRA,São Paulo,DIESEL S10,RAIZEN,6690
5,ITAPIRA,São Paulo,DIESEL S10,BRANCA,6870
1,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6199
2,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6299
3,HORTOLANDIA,São Paulo,DIESEL S10,IPIRANGA,6299
4,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6299
5,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6299
6,HORTOLANDIA,São Paulo,DIESEL S10,VIBRA ENERGIA,6390
7,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6489
8,HORTOLANDIA,São Paulo,DIESEL S10,BRANCA,6499
9,HORTOLANDIA,São Paulo,DIESEL S10,IPIRANGA,6599
10,HORTOLANDIA,São Paulo,DIESEL S10,RAIZEN,6599
11,HORTOLANDIA,São Paulo,DIESEL S10,VIBRA ENERGIA,6699
1,AMERICANA,São Paulo,DIESEL S10,BRANCA,6399
2,AMERICANA,São Paulo,DIESEL S10,IPIRANGA,6549
3,AMERICANA,São Paulo,DIESEL S10,BRANCA,6549
4,AMERICANA,São Paulo,DIESEL S10,RAIZEN,6550
5,AMERICANA,São Paulo,DIESEL S10,IPIRANGA,6590
6,AMERICANA,São Paulo,DIESEL S10,IPIRANGA,6590
7,AMERICANA,São Paulo,DIESEL S10,IPIRANGA,6599
8,AMERICANA,São Paulo,DIESEL S10,BRANCA,6599
9,AMERICANA,São Paulo,DIESEL S10,BRANCA,6649
10,AMERICANA,São Paulo,DIESEL S10,IPIRANGA,6690
1,DRACENA,São Paulo,DIESEL S10,BRANCA,6590
2,DRACENA,São Paulo,DIESEL S10,RAIZEN,6690
3,DRACENA,São Paulo,DIESEL S10,VIBRA ENERGIA,6690
4,DRACENA,São Paulo,DIESEL S10,RAIZEN,6780
5,DRACENA,São Paulo,DIESEL S10,BRANCA,6890
6,DRACENA,São Paulo,DIESEL S10,BRANCA,6890
1,MATAO,São Paulo,DIESEL S10,BRANCA,6290
2,MATAO,São Paulo,DIESEL S10,BRANCA,6450
3,MATAO,São Paulo,DIESEL S10,RAIZEN,6480
4,MATAO,São Paulo,DIESEL S10,BRANCA,6590
5,MATAO,São Paulo,DIESEL S10,BRANCA,6590
6,MATAO,São Paulo,DIESEL S10,BRANCA,6790
7,MATAO,São Paulo,DIESEL S10,IPIRANGA,6790
8,MATAO,São Paulo,DIESEL S10,IPIRANGA,6799
9,MATAO,São Paulo,DIESEL S10,BRANCA,6900
10,MATAO,São Paulo,DIESEL S10,BRANCA,6900
1,BAURU,São Paulo,DIESEL S10,BRANCA,6290
2,BAURU,São Paulo,DIESEL S10,IPIRANGA,6450
3,BAURU,São Paulo,DIESEL S10,VIBRA ENERGIA,6479
4,BAURU,São Paulo,DIESEL S10,VIBRA ENERGIA,6499
5,BAURU,São Paulo,DIESEL S10,RAIZEN,6589
6,BAURU,São Paulo,DIESEL S10,BRANCA,6590
7,BAURU,São Paulo,DIESEL S10,BRANCA,6590
8,BAURU,São Paulo,DIESEL S10,BRANCA,6599
9,BAURU,São Paulo,DIESEL S10,BRANCA,6690
10,BAURU,São Paulo,DIESEL S10,RAIZEN,6699
11,BAURU,São Paulo,DIESEL S10,RAIZEN,6699
12,BAURU,São Paulo,DIESEL S10,BRANCA,6699
13,BAURU,São Paulo,DIESEL S10,BRANCA,6699
14,BAURU,São Paulo,DIESEL S10,BRANCA,6750
15,BAURU,São Paulo,DIESEL S10,RAIZEN,6750
16,BAURU,São Paulo,DIESEL S10,VIBRA ENERGIA,6799
1,MOGI GUACU,São Paulo,DIESEL S10,BRANCA,6690
2,MOGI GUACU,São Paulo,DIESEL S10,BRANCA,6690
3,MOGI GUACU,São Paulo,DIESEL S10,IPIRANGA,6790
4,MOGI GUACU,São Paulo,DIESEL S10,BRANCA,6990
5,MOGI GUACU,São Paulo,DIESEL S10,VIBRA ENERGIA,6999
1,DIADEMA,São Paulo,DIESEL S10,BRANCA,6170
2,DIADEMA,São Paulo,DIESEL S10,BRANCA,6190
3,DIADEMA,São Paulo,DIESEL S10,BRANCA,6199
4,DIADEMA,São Paulo,DIESEL S10,BRANCA,6250
5,DIADEMA,São Paulo,DIESEL S10,BRANCA,6279
6,DIADEMA,São Paulo,DIESEL S10,IPIRANGA,6290
7,DIADEMA,São Paulo,DIESEL S10,BRANCA,6299
8,DIADEMA,São Paulo,DIESEL S10,BRANCA,6540
9,DIADEMA,São Paulo,DIESEL S10,RAIZEN,6590
10,DIADEMA,São Paulo,DIESEL S10,RAIZEN,6590
11,DIADEMA,São Paulo,DIESEL S10,IPIRANGA,6699
12,DIADEMA,São Paulo,DIESEL S10,BRANCA,6699
13,DIADEMA,São Paulo,DIESEL S10,BRANCA,6699
14,DIADEMA,São Paulo,DIESEL S10,IPIRANGA,6790
1,AVARE,São Paulo,DIESEL S10,BRANCA,6600
2,AVARE,São Paulo,DIESEL S10,BRANCA,6659
3,AVARE,São Paulo,DIESEL S10,IPIRANGA,6750
4,AVARE,São Paulo,DIESEL S10,BRANCA,6770
5,AVARE,São Paulo,DIESEL S10,BRANCA,6790
6,AVARE,São Paulo,DIESEL S10,RAIZEN,6799
7,AVARE,São Paulo,DIESEL S10,IPIRANGA,6860
1,JOSE BONIFACIO,São Paulo,DIESEL S10,BRANCA,6389
2,JOSE BONIFACIO,São Paulo,DIESEL S10,BRANCA,6390
3,JOSE BONIFACIO,São Paulo,DIESEL S10,BRANCA,6399
4,JOSE BONIFACIO,São Paulo,DIESEL S10,BRANCA,6650
5,JOSE BONIFACIO,São Paulo,DIESEL S10,IPIRANGA,6750
6,JOSE BONIFACIO,São Paulo,DIESEL S10,IPIRANGA,6750
7,JOSE BONIFACIO,São Paulo,DIESEL S10,VIBRA ENERGIA,6759
8,JOSE BONIFACIO,São Paulo,DIESEL S10,BRANCA,6890
9,JOSE BONIFACIO,São Paulo,DIESEL S10,RAIZEN,6899
1,BOTUCATU,São Paulo,DIESEL S10,VIBRA ENERGIA,6490
2,BOTUCATU,São Paulo,DIESEL S10,IPIRANGA,6499
3,BOTUCATU,São Paulo,DIESEL S10,IPIRANGA,6499
4,BOTUCATU,São Paulo,DIESEL S10,RAIZEN,6579
5,BOTUCATU,São Paulo,DIESEL S10,RAIZEN,6590
6,BOTUCATU,São Paulo,DIESEL S10,RAIZEN,6599
1,CAMPINAS,São Paulo,DIESEL S10,BRANCA,5999
2,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6299
3,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6349
4,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6377
5,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6397
6,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6399
7,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6399
8,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6399
9,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6399
10,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6450
11,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6479
12,CAMPINAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6497
13,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6497
14,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6499
15,CAMPINAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6499
16,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6499
17,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6499
18,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6597
19,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6599
20,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6599
21,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6599
22,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6599
23,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6649
24,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6699
25,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6699
26,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6699
27,CAMPINAS,São Paulo,DIESEL S10,RAIZEN,6699
28,CAMPINAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6699
29,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6799
30,CAMPINAS,São Paulo,DIESEL S10,BRANCA,6800
31,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6970
32,CAMPINAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6999
33,CAMPINAS,São Paulo,DIESEL S10,IPIRANGA,6999
1,BRAGANCA PAULISTA,São Paulo,DIESEL S10,BRANCA,6290
2,BRAGANCA PAULISTA,São Paulo,DIESEL S10,VIBRA ENERGIA,6399
3,BRAGANCA PAULISTA,São Paulo,DIESEL S10,BRANCA,6399
4,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6599
5,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6730
6,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6730
7,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6790
8,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6890
9,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6890
10,BRAGANCA PAULISTA,São Paulo,DIESEL S10,RAIZEN,6890
1,MOGI MIRIM,São Paulo,DIESEL S10,TAURUS,6170
2,MOGI MIRIM,São Paulo,DIESEL S10,RAIZEN,6460
3,MOGI MIRIM,São Paulo,DIESEL S10,IPIRANGA,6590
4,MOGI MIRIM,São Paulo,DIESEL S10,BRANCA,6690
5,MOGI MIRIM,São Paulo,DIESEL S10,VIBRA ENERGIA,6790
6,MOGI MIRIM,São Paulo,DIESEL S10,BRANCA,6790
1,JUNDIAI,São Paulo,DIESEL S10,BRANCA,6390
2,JUNDIAI,São Paulo,DIESEL S10,IPIRANGA,6520
3,JUNDIAI,São Paulo,DIESEL S10,VIBRA ENERGIA,6590
4,JUNDIAI,São Paulo,DIESEL S10,BRANCA,6590
5,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6590
6,JUNDIAI,São Paulo,DIESEL S10,VIBRA ENERGIA,6590
7,JUNDIAI,São Paulo,DIESEL S10,IPIRANGA,6599
8,JUNDIAI,São Paulo,DIESEL S10,IPIRANGA,6599
9,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6599
10,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6599
11,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6620
12,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6690
13,JUNDIAI,São Paulo,DIESEL S10,RAIZEN,6699
14,JUNDIAI,São Paulo,DIESEL S10,BRANCA,6899
1,IBITINGA,São Paulo,DIESEL S10,BRANCA,6469
2,IBITINGA,São Paulo,DIESEL S10,BRANCA,6469
3,IBITINGA,São Paulo,DIESEL S10,BRANCA,6550
4,IBITINGA,São Paulo,DIESEL S10,RAIZEN,6590
5,IBITINGA,São Paulo,DIESEL S10,BRANCA,6990
1,CRUZEIRO,São Paulo,DIESEL S10,BRANCA,6490
2,CRUZEIRO,São Paulo,DIESEL S10,BRANCA,6490
3,CRUZEIRO,São Paulo,DIESEL S10,BRANCA,6490
4,CRUZEIRO,São Paulo,DIESEL S10,VIBRA ENERGIA,6620
5,CRUZEIRO,São Paulo,DIESEL S10,IPIRANGA,6740
6,CRUZEIRO,São Paulo,DIESEL S10,RAIZEN,6890
1,BARUERI,São Paulo,DIESEL S10,IPIRANGA,6499
2,BARUERI,São Paulo,DIESEL S10,RAIZEN,6540
3,BARUERI,São Paulo,DIESEL S10,RAIZEN,6549
4,BARUERI,São Paulo,DIESEL S10,IPIRANGA,6599
5,BARUERI,São Paulo,DIESEL S10,BRANCA,6690
6,BARUERI,São Paulo,DIESEL S10,BRANCA,6770
7,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,6799
8,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,6799
9,BARUERI,São Paulo,DIESEL S10,ALESAT,6890
10,BARUERI,São Paulo,DIESEL S10,IPIRANGA,6899
11,BARUERI,São Paulo,DIESEL S10,RAIZEN,6990
12,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,6990
13,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,7190
14,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,7190
15,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,7290
16,BARUERI,São Paulo,DIESEL S10,VIBRA ENERGIA,7290
1,CARAGUATATUBA,São Paulo,DIESEL S10,BRANCA,6549
2,CARAGUATATUBA,São Paulo,DIESEL S10,IPIRANGA,6694
3,CARAGUATATUBA,São Paulo,DIESEL S10,IPIRANGA,6699
4,CARAGUATATUBA,São Paulo,DIESEL S10,RAIZEN,6799
5,CARAGUATATUBA,São Paulo,DIESEL S10,IPIRANGA,6898
6,CARAGUATATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
7,CARAGUATATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
8,CARAGUATATUBA,São Paulo,DIESEL S10,RAIZEN,6899
9,CARAGUATATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
1,MARILIA,São Paulo,DIESEL S10,BRANCA,6199
2,MARILIA,São Paulo,DIESEL S10,IPIRANGA,6378
3,MARILIA,São Paulo,DIESEL S10,BRANCA,6379
4,MARILIA,São Paulo,DIESEL S10,RAIZEN,6499
5,MARILIA,São Paulo,DIESEL S10,RAIZEN,6519
6,MARILIA,São Paulo,DIESEL S10,BRANCA,6550
7,MARILIA,São Paulo,DIESEL S10,BRANCA,6590
8,MARILIA,São Paulo,DIESEL S10,RAIZEN,6680
9,MARILIA,São Paulo,DIESEL S10,RAIZEN,6899
10,MARILIA,São Paulo,DIESEL S10,IPIRANGA,6979
11,MARILIA,São Paulo,DIESEL S10,IPIRANGA,6979
1,CACAPAVA,São Paulo,DIESEL S10,BRANCA,6140
2,CACAPAVA,São Paulo,DIESEL S10,BRANCA,6290
3,CACAPAVA,São Paulo,DIESEL S10,BRANCA,6290
4,CACAPAVA,São Paulo,DIESEL S10,RAIZEN,6400
5,CACAPAVA,São Paulo,DIESEL S10,BRANCA,6600
6,CACAPAVA,São Paulo,DIESEL S10,VIBRA ENERGIA,6890
7,CACAPAVA,São Paulo,DIESEL S10,VIBRA ENERGIA,6890
1,ITAQUAQUECETUBA,São Paulo,DIESEL S10,BRANCA,6099
2,ITAQUAQUECETUBA,São Paulo,DIESEL S10,ALESAT,6497
3,ITAQUAQUECETUBA,São Paulo,DIESEL S10,RAIZEN,6499
4,ITAQUAQUECETUBA,São Paulo,DIESEL S10,IPIRANGA,6499
5,ITAQUAQUECETUBA,São Paulo,DIESEL S10,BRANCA,6580
6,ITAQUAQUECETUBA,São Paulo,DIESEL S10,IPIRANGA,6597
7,ITAQUAQUECETUBA,São Paulo,DIESEL S10,IPIRANGA,6597
1,ARARAS,São Paulo,DIESEL S10,RAIZEN,6299
2,ARARAS,São Paulo,DIESEL S10,BRANCA,6499
3,ARARAS,São Paulo,DIESEL S10,BRANCA,6499
4,ARARAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6585
5,ARARAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6597
6,ARARAS,São Paulo,DIESEL S10,RAIZEN,6599
7,ARARAS,São Paulo,DIESEL S10,RAIZEN,6599
8,ARARAS,São Paulo,DIESEL S10,VIBRA ENERGIA,6599
9,ARARAS,São Paulo,DIESEL S10,IPIRANGA,6799
1,MOGI DAS CRUZES,São Paulo,DIESEL S10,VIBRA ENERGIA,6379
2,MOGI DAS CRUZES,São Paulo,DIESEL S10,VIBRA ENERGIA,6549
3,MOGI DAS CRUZES,São Paulo,DIESEL S10,BRANCA,6599
4,MOGI DAS CRUZES,São Paulo,DIESEL S10,RAIZEN,6599
5,MOGI DAS CRUZES,São Paulo,DIESEL S10,BRANCA,6599
6,MOGI DAS CRUZES,São Paulo,DIESEL S10,BRANCA,6599
7,MOGI DAS CRUZES,São Paulo,DIESEL S10,IPIRANGA,6650
8,MOGI DAS CRUZES,São Paulo,DIESEL S10,RAIZEN,6690
9,MOGI DAS CRUZES,São Paulo,DIESEL S10,VIBRA ENERGIA,6699
10,MOGI DAS CRUZES,São Paulo,DIESEL S10,BRANCA,6899
1,GARCA,São Paulo,DIESEL S10,BRANCA,6590
2,GARCA,São Paulo,DIESEL S10,BRANCA,6590
3,GARCA,São Paulo,DIESEL S10,BRANCA,6599
4,GARCA,São Paulo,DIESEL S10,BRANCA,6599
5,GARCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6890
