Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
1,ATIBAIA,São Paulo,DIESEL,BRANCA,"5,96"
2,ATIBAIA,São Paulo,DIESEL,BRANCA,"6,09"
3,ATIBAIA,São Paulo,DIESEL,BRANCA,"6,5"
4,ATIBAIA,São Paulo,DIESEL,VIBRA ENERGIA,"6,717"
5,ATIBAIA,São Paulo,DIESEL,IPIRANGA,"6,857"
6,ATIBAIA,São Paulo,DIESEL,RAIZEN,"6,99"
7,ATIBAIA,São Paulo,DIESEL,VIBRA ENERGIA,"7,03"
1,LORENA,São Paulo,DIESEL,BRANCA,"6,15"
2,LORENA,São Paulo,DIESEL,BRANCA,"6,19"
1,MAUA,São Paulo,DIESEL,RAIZEN,"6,47"
2,MAUA,São Paulo,DIESEL,RAIZEN,"6,479"
3,MAUA,São Paulo,DIESEL,RAIZEN,"6,49"
1,ITATIBA,São Paulo,DIESEL,IPIRANGA,"6,249"
2,ITATIBA,São Paulo,DIESEL,BRANCA,"6,299"
3,ITATIBA,São Paulo,DIESEL,BRANCA,"6,319"
4,ITATIBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,49"
5,ITATIBA,São Paulo,DIESEL,RAIZEN,"6,6"
6,ITATIBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,6"
1,COSMOPOLIS,São Paulo,DIESEL,BRANCA,"5,999"
2,COSMOPOLIS,São Paulo,DIESEL,BRANCA,"6,29"
3,COSMOPOLIS,São Paulo,DIESEL,BRANCA,"6,679"
1,INDAIATUBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,04"
2,INDAIATUBA,São Paulo,DIESEL,RAIZEN,"6,089"
3,INDAIATUBA,São Paulo,DIESEL,ALESAT,"6,499"
4,INDAIATUBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,55"
1,ARARAQUARA,São Paulo,DIESEL,BRANCA,"6,37"
2,ARARAQUARA,São Paulo,DIESEL,BRANCA,"6,399"
3,ARARAQUARA,São Paulo,DIESEL,RAIZEN,"6,499"
4,ARARAQUARA,São Paulo,DIESEL,BRANCA,"6,54"
5,ARARAQUARA,São Paulo,DIESEL,BRANCA,"6,59"
6,ARARAQUARA,São Paulo,DIESEL,ALESAT,"6,649"
1,ASSIS,São Paulo,DIESEL,BRANCA,"6,499"
2,ASSIS,São Paulo,DIESEL,VIBRA ENERGIA,"6,599"
3,ASSIS,São Paulo,DIESEL,IPIRANGA,"6,66"
4,ASSIS,São Paulo,DIESEL,IPIRANGA,"6,66"
5,ASSIS,São Paulo,DIESEL,BRANCA,"6,699"
6,ASSIS,São Paulo,DIESEL,VIBRA ENERGIA,"6,849"
1,AMPARO,São Paulo,DIESEL,BRANCA,"6,309"
2,AMPARO,São Paulo,DIESEL,RAIZEN,"6,45"
3,AMPARO,São Paulo,DIESEL,VIBRA ENERGIA,"6,45"
4,AMPARO,São Paulo,DIESEL,RAIZEN,"6,45"
5,AMPARO,São Paulo,DIESEL,RAIZEN,"6,45"
6,AMPARO,São Paulo,DIESEL,VIBRA ENERGIA,"6,45"
7,AMPARO,São Paulo,DIESEL,IPIRANGA,"6,54"
1,MOCOCA,São Paulo,DIESEL,BRANCA,"6,269"
2,MOCOCA,São Paulo,DIESEL,BRANCA,"6,269"
3,MOCOCA,São Paulo,DIESEL,BRANCA,"6,269"
4,MOCOCA,São Paulo,DIESEL,BRANCA,"6,499"
5,MOCOCA,São Paulo,DIESEL,BRANCA,"6,599"
6,MOCOCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,649"
7,MOCOCA,São Paulo,DIESEL,RAIZEN,"6,729"
8,MOCOCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,759"
1,ADAMANTINA,São Paulo,DIESEL,IPIRANGA,"6,99"
1,ITAPIRA,São Paulo,DIESEL,IPIRANGA,"6,399"
2,ITAPIRA,São Paulo,DIESEL,BRANCA,"6,64"
3,ITAPIRA,São Paulo,DIESEL,BRANCA,"6,67"
1,HORTOLANDIA,São Paulo,DIESEL,BRANCA,"6,099"
2,HORTOLANDIA,São Paulo,DIESEL,IPIRANGA,"6,189"
3,HORTOLANDIA,São Paulo,DIESEL,BRANCA,"6,199"
4,HORTOLANDIA,São Paulo,DIESEL,BRANCA,"6,199"
5,HORTOLANDIA,São Paulo,DIESEL,BRANCA,"6,199"
6,HORTOLANDIA,São Paulo,DIESEL,RAIZEN,"6,499"
7,HORTOLANDIA,São Paulo,DIESEL,VIBRA ENERGIA,"6,599"
1,AMERICANA,São Paulo,DIESEL,BRANCA,"6,399"
2,AMERICANA,São Paulo,DIESEL,IPIRANGA,"6,449"
3,AMERICANA,São Paulo,DIESEL,IPIRANGA,"6,499"
1,DRACENA,São Paulo,DIESEL,BRANCA,"6,49"
2,DRACENA,São Paulo,DIESEL,BRANCA,"6,55"
3,DRACENA,São Paulo,DIESEL,VIBRA ENERGIA,"6,59"
4,DRACENA,São Paulo,DIESEL,BRANCA,"6,59"
1,MATAO,São Paulo,DIESEL,BRANCA,"6,29"
2,MATAO,São Paulo,DIESEL,BRANCA,"6,39"
3,MATAO,São Paulo,DIESEL,BRANCA,"6,4"
4,MATAO,São Paulo,DIESEL,BRANCA,"6,69"
5,MATAO,São Paulo,DIESEL,BRANCA,"6,75"
6,MATAO,São Paulo,DIESEL,IPIRANGA,"6,799"
7,MATAO,São Paulo,DIESEL,BRANCA,"6,8"
1,BAURU,São Paulo,DIESEL,BRANCA,"6,33"
2,BAURU,São Paulo,DIESEL,BRANCA,"6,399"
3,BAURU,São Paulo,DIESEL,BRANCA,"6,49"
4,BAURU,São Paulo,DIESEL,RAIZEN,"6,499"
5,BAURU,São Paulo,DIESEL,VIBRA ENERGIA,"6,499"
6,BAURU,São Paulo,DIESEL,BRANCA,"6,57"
7,BAURU,São Paulo,DIESEL,BRANCA,"6,57"
8,BAURU,São Paulo,DIESEL,BRANCA,"6,699"
1,MOGI GUACU,São Paulo,DIESEL,BRANCA,"6,39"
2,MOGI GUACU,São Paulo,DIESEL,BRANCA,"6,59"
3,MOGI GUACU,São Paulo,DIESEL,VIBRA ENERGIA,"6,659"
4,MOGI GUACU,São Paulo,DIESEL,ALESAT,"6,797"
5,MOGI GUACU,São Paulo,DIESEL,BRANCA,"6,89"
1,DIADEMA,São Paulo,DIESEL,BRANCA,"5,97"
2,DIADEMA,São Paulo,DIESEL,BRANCA,"6,09"
3,DIADEMA,São Paulo,DIESEL,BRANCA,"6,169"
4,DIADEMA,São Paulo,DIESEL,BRANCA,"6,22"
5,DIADEMA,São Paulo,DIESEL,IPIRANGA,"6,26"
6,DIADEMA,São Paulo,DIESEL,IPIRANGA,"6,699"
1,AVARE,São Paulo,DIESEL,BRANCA,"6,399"
2,AVARE,São Paulo,DIESEL,BRANCA,"6,5"
3,AVARE,São Paulo,DIESEL,IPIRANGA,"6,55"
4,AVARE,São Paulo,DIESEL,IPIRANGA,"6,66"
5,AVARE,São Paulo,DIESEL,BRANCA,"6,69"
1,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,19"
2,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,199"
3,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,249"
4,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,39"
5,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,42"
6,JOSE BONIFACIO,São Paulo,DIESEL,RAIZEN,"6,599"
7,JOSE BONIFACIO,São Paulo,DIESEL,VIBRA ENERGIA,"6,629"
8,JOSE BONIFACIO,São Paulo,DIESEL,IPIRANGA,"6,65"
9,JOSE BONIFACIO,São Paulo,DIESEL,IPIRANGA,"6,65"
