Classes,Frequência,Porcentagem,Contagem
"(6.249, 6.399]",83,26.2658227848101,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.549, 6.7]",66,20.8860759493671,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.399, 6.549]",56,17.7215189873418,||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.7, 6.85]",32,10.126582278481,||||||||||||||||||||||||||||||||
"(6.099, 6.249]",29,9.17721518987342,|||||||||||||||||||||||||||||
"(5.947, 6.099]",25,7.91139240506329,|||||||||||||||||||||||||
"(6.85, 7.0]",19,6.0126582278481,|||||||||||||||||||
"(7.0, 7.15]",3,0.949367088607595,|||
"(7.15, 7.3]",3,0.949367088607595,|||
