,Nome,Amplitude Total,Número de Classes,Amplitude de Classe
0,Diesel Nacional,1.3010000000000002,9,0.14500000000000046
1,Diesel Outro,1.2100000000000009,9,0.13400000000000034
2,Diesel Interior,1.351,9,0.15000000000000036
3,Diesel Metropole,0.49099999999999966,9,0.054999999999999716
4,Diesel S10 Nacional,1.3200000000000003,10,0.13200000000000056
5,Diesel S10 Outro,1.391,10,0.13900000000000023
6,Diesel S10 Interior,1.4910000000000005,10,0.14900000000000002
7,Diesel S10 Metropole,1.1909999999999998,10,0.11899999999999977
